row,mlip,T_K,sigma_mS_cm,kinisi_sigma_std_mS_cm,fit_Ea_eV,fit_Ea_err_eV,fit_sigma300_mS_cm,fit_sigma300_min_mS_cm,fit_sigma300_max_mS_cm,fit_R2
52-atom / 50 ps,mace,600.0,797.1352203686257,135.6279593049777,0.21223221390840752,0.027672929648882013,22.654977540516356,11.520202991705059,44.551993374670275,0.7938909887354343
52-atom / 50 ps,mace,800.0,861.9617441985554,166.34251476170144,0.21223221390840752,0.027672929648882013,22.654977540516356,11.520202991705059,44.551993374670275,0.7938909887354343
52-atom / 50 ps,mace,1000.0,2460.092750317854,319.68178268892467,0.21223221390840752,0.027672929648882013,22.654977540516356,11.520202991705059,44.551993374670275,0.7938909887354343
52-atom / 50 ps,mattersim,600.0,550.0056719299052,94.60829317710046,0.21969733943470532,0.0296527064685878,14.100464872397218,6.915909632489626,28.748656385513495,0.8319487708321862
52-atom / 50 ps,mattersim,800.0,657.2790393124934,147.45938700415167,0.21969733943470532,0.0296527064685878,14.100464872397218,6.915909632489626,28.748656385513495,0.8319487708321862
52-atom / 50 ps,mattersim,1000.0,1866.721889984018,284.4602939372367,0.21969733943470532,0.0296527064685878,14.100464872397218,6.915909632489626,28.748656385513495,0.8319487708321862
52-atom / 50 ps,expt Li6PS5Cl (sintered),300.0,3.15,,,,,,,
52-atom / 50 ps,expt Li6PS5Cl (mechanochem.),300.0,1.33,,,,,,,
52-atom / 150 ps,mace,600.0,585.0397678304377,110.29865747287513,0.2337044110681921,0.030652516484424623,12.51658165325772,5.922978332741256,26.450344316920738,0.9987619040789493
52-atom / 150 ps,mace,800.0,1284.8313932230947,216.88714412595172,0.2337044110681921,0.030652516484424623,12.51658165325772,5.922978332741256,26.450344316920738,0.9987619040789493
52-atom / 150 ps,mace,1000.0,2139.5408724404715,307.7826666870978,0.2337044110681921,0.030652516484424623,12.51658165325772,5.922978332741256,26.450344316920738,0.9987619040789493
52-atom / 150 ps,mattersim,600.0,275.61227679275623,54.75793950988473,0.292428266751122,0.03170187120555974,1.7884585962050388,0.8212387505854235,3.8948285721534375,0.982390705055756
52-atom / 150 ps,mattersim,800.0,654.4744592447123,125.57378852698503,0.292428266751122,0.03170187120555974,1.7884585962050388,0.8212387505854235,3.8948285721534375,0.982390705055756
52-atom / 150 ps,mattersim,1000.0,1573.712548210149,226.66341290525713,0.292428266751122,0.03170187120555974,1.7884585962050388,0.8212387505854235,3.8948285721534375,0.982390705055756
52-atom / 150 ps,expt Li6PS5Cl (sintered),300.0,3.15,,,,,,,
52-atom / 150 ps,expt Li6PS5Cl (mechanochem.),300.0,1.33,,,,,,,
