mlip,T_K,sigma_mS_cm,kinisi_sigma_std_mS_cm,fit_Ea_eV,fit_Ea_err_eV,fit_sigma300_mS_cm,fit_sigma300_min_mS_cm,fit_sigma300_max_mS_cm,fit_R2
mace,600.0,970.0791536209143,61.50634141735098,0.20822089045357003,0.010870172553118652,33.226241855610766,25.576873554861113,43.163334466175016,0.9863079389410658
mace,800.0,1700.9692212083348,113.18363634681096,0.20822089045357003,0.010870172553118652,33.226241855610766,25.576873554861113,43.163334466175016,0.9863079389410658
mace,1000.0,2946.889764738682,163.5508210889079,0.20822089045357003,0.010870172553118652,33.226241855610766,25.576873554861113,43.163334466175016,0.9863079389410658
