temperature_K,mean_T_K,std_T_K,mean_E_per_atom_eV,drift_meV_atom_ps
600,601.50,24.32,-4.07327,0.0020
800,798.78,30.67,-4.04296,-0.0063
1000,1002.20,39.86,-4.01184,-0.0021
