temperature_K,mean_T_K,std_T_K,mean_E_per_atom_eV,drift_meV_atom_ps
600,601.32,23.50,-4.06801,0.0075
800,801.32,33.11,-4.03877,-0.0077
1000,1001.85,39.42,-4.00954,0.0083
