temperature_K,mean_T_K,std_T_K,mean_E_per_atom_eV,drift_meV_atom_ps
600,607.96,77.84,-4.06799,0.0928
800,798.21,88.42,-4.03943,0.1325
1000,1021.41,108.14,-4.00718,-0.0772
