mlip,T_K,sigma_mS_cm,kinisi_sigma_std_mS_cm,fit_Ea_eV,fit_sigma300_mS_cm,fit_R2
mace,600.0,477.13795721622245,30.90668352975697,0.2650621929247196,5.572827644773856,0.9986175950453328
mace,800.0,1213.408292315123,93.27746004852197,0.2650621929247196,5.572827644773856,0.9986175950453328
mace,1000.0,2249.8191206709002,142.32467205118803,0.2650621929247196,5.572827644773856,0.9986175950453328
mattersim,600.0,153.72792778346712,13.622904373538164,0.33805281500669165,0.42216384603583285,0.9914893750804177
mattersim,800.0,487.7034385494881,31.474497799004908,0.33805281500669165,0.42216384603583285,0.9914893750804177
mattersim,1000.0,1305.8707625415543,77.18245136714825,0.33805281500669165,0.42216384603583285,0.9914893750804177
