mlip,T_K,sigma_mS_cm,kinisi_sigma_std_mS_cm,fit_Ea_eV,fit_Ea_err_eV,fit_sigma300_mS_cm,fit_sigma300_min_mS_cm,fit_sigma300_max_mS_cm,fit_R2
mace,600.0,797.1352203686257,135.6279593049777,0.21223221390840752,0.027672929648882013,22.654977540516356,11.520202991705059,44.551993374670275,0.7938909887354343
mace,800.0,861.9617441985554,166.34251476170144,0.21223221390840752,0.027672929648882013,22.654977540516356,11.520202991705059,44.551993374670275,0.7938909887354343
mace,1000.0,2460.092750317854,319.68178268892467,0.21223221390840752,0.027672929648882013,22.654977540516356,11.520202991705059,44.551993374670275,0.7938909887354343
mattersim,600.0,550.0056719299052,94.60829317710046,0.21969733943470532,0.0296527064685878,14.100464872397218,6.915909632489626,28.748656385513495,0.8319487708321862
mattersim,800.0,657.2790393124934,147.45938700415167,0.21969733943470532,0.0296527064685878,14.100464872397218,6.915909632489626,28.748656385513495,0.8319487708321862
mattersim,1000.0,1866.721889984018,284.4602939372367,0.21969733943470532,0.0296527064685878,14.100464872397218,6.915909632489626,28.748656385513495,0.8319487708321862
