mlip,T_K,sigma_mS_cm,kinisi_sigma_std_mS_cm,fit_Ea_eV,fit_sigma300_mS_cm,fit_R2
mace,600.0,524.392607053287,33.78855845146134,0.2561922128613378,7.340909949728969,0.999738024324119
mace,800.0,1323.2327897061912,79.34393001301736,0.2561922128613378,7.340909949728969,0.999738024324119
mace,1000.0,2293.965858758333,135.31000956708047,0.2561922128613378,7.340909949728969,0.999738024324119
