tag,cl_content,formula,n_atoms,sigma300_mS_cm,Ea_eV,R2
cl100,1.0,Li6PS5Cl,416,7.340909949728969,0.2561922128613378,0.999738024324119
cl125,1.25,Li23P4S19Cl5,408,34.55292257899008,0.20618293695546183,0.9865809631091127
cl150,1.5,Li11P2(S3Cl)3,400,128.59318471394212,0.16123031223197537,0.9949149666251679
cl175,1.75,Li21P4S17Cl7,392,210.7367554890031,0.1488077629767146,0.9962951082912221
