mlip,T_K,sigma_mS_cm,kinisi_sigma_std_mS_cm,fit_Ea_eV,fit_Ea_err_eV,fit_sigma300_mS_cm,fit_sigma300_min_mS_cm,fit_sigma300_max_mS_cm,fit_R2
mace,600.0,154.47021204973896,15.27914304962349,0.3347957404232727,0.015381869437761679,0.45441777973535274,0.31121241984288284,0.6635195299848804,0.9980476575887649
mace,800.0,527.7615673320857,34.974319113750276,0.3347957404232727,0.015381869437761679,0.45441777973535274,0.31121241984288284,0.6635195299848804,0.9980476575887649
mace,1000.0,1221.953253424655,81.76881058372025,0.3347957404232727,0.015381869437761679,0.45441777973535274,0.31121241984288284,0.6635195299848804,0.9980476575887649
