lead,source_project,prior_log10_sigma,prior_rank,sigma300_mS_cm,Ea_eV,R2
Li$_{20}$Si$_3$P$_3$S$_{23}$Cl,P1,-4.63,1,28.85771065964004,0.19918077451056146,0.9941604462240454
Li$_8$TiS$_6$,P1,-4.77,2,0.0008997513208491622,0.6020556953226492,0.7653678711573291
Li$_3$PS$_4$ (gen016),P3,-6.83,3,0.00553706582397296,0.5451779638347299,0.8689162512288244
LiPS$_3$ (gen021),P3,-7.12,4,10.351600597900521,0.24338473045716266,0.9955983882254987
