row,mlip,T_K,sigma_mS_cm,kinisi_sigma_std_mS_cm,fit_Ea_eV,fit_Ea_err_eV,fit_sigma300_mS_cm,fit_sigma300_min_mS_cm,fit_sigma300_max_mS_cm,fit_R2
,mace,600.0,477.13795721622245,30.90668352975697,0.2654824114989312,0.011626903826211217,5.5462977480922895,4.207340746582898,7.3113685254699625,0.9985785464438847
,mace,800.0,1213.408292315123,93.27746004852197,0.2654824114989312,0.011626903826211217,5.5462977480922895,4.207340746582898,7.3113685254699625,0.9985785464438847
,mace,1000.0,2249.8191206709002,142.32467205118803,0.2654824114989312,0.011626903826211217,5.5462977480922895,4.207340746582898,7.3113685254699625,0.9985785464438847
,mattersim,600.0,153.72792778346712,13.622904373538164,0.3457520932785041,0.01371548595211202,0.34857401602487437,0.24851166239303832,0.48892612715914585,0.9908834810775473
,mattersim,800.0,487.7034385494881,31.474497799004908,0.3457520932785041,0.01371548595211202,0.34857401602487437,0.24851166239303832,0.48892612715914585,0.9908834810775473
,mattersim,1000.0,1305.8707625415543,77.18245136714825,0.3457520932785041,0.01371548595211202,0.34857401602487437,0.24851166239303832,0.48892612715914585,0.9908834810775473
,expt Li6PS5Cl (sintered),300.0,3.15,,,,,,,
,expt Li6PS5Cl (mechanochem.),300.0,1.33,,,,,,,
