tag,cl_content,formula,n_atoms,sigma300_mS_cm,sigma300_lo_err,sigma300_hi_err,Ea_eV,Ea_err_eV,R2
cl100,1.0,Li6PS5Cl,416,7.306515139810454,1.7258063795359737,2.2595034039799753,0.25638192851874536,0.011240474060363872,0.9997373955168635
cl125,1.25,Li23P4S19Cl5,408,33.226241855610766,7.649368300749654,9.93709261056425,0.20822089045357003,0.010870172553118652,0.9863079389410658
cl150,1.5,Li11P2(S3Cl)3,400,122.5458698655519,27.074233275138425,34.75205397262256,0.16363642438192988,0.010742169605990353,0.9944249746863545
cl175,1.75,Li21P4S17Cl7,392,212.81673379690974,50.09220050358357,65.51230035274469,0.1483665645979643,0.011402586358993768,0.9962849628762582
